Line,Stop,Date,Score
1,8012,20210906,66.25
1,8012,20210907,65.74
1,8012,20210908,54.57
1,8012,20210909,64.34
1,8012,20210910,61.97
1,8012,20210911,95.87
1,8012,20210912,97.24
1,8012,20210913,60.9
1,8012,20210914,49.12
1,8012,20210915,46.71
1,8012,20210916,57.54
1,8012,20210917,54.46
1,8012,20210918,94.13
1,8012,20210919,97.35
1,8012,20210920,51.27
1,8012,20210921,49.57
1,8012,20210906,75.75
1,8012,20210907,84.99
1,8012,20210908,76.44
1,8012,20210909,62.59
1,8012,20210910,80.28
1,8012,20210911,92.83
1,8012,20210912,84.06
1,8012,20210913,88.79
1,8012,20210914,85.23
1,8012,20210915,74.89
1,8012,20210916,84.77
1,8012,20210917,78.33
1,8012,20210918,92.47
1,8012,20210919,93.04
1,8012,20210920,39.39
1,8012,20210921,48.1
1,8022,20210906,68.45
1,8022,20210907,69.04
1,8022,20210908,45.65
1,8022,20210909,64.8
1,8022,20210910,61.27
1,8022,20210911,95.47
1,8022,20210912,97.16
1,8022,20210913,54.78
1,8022,20210914,57.38
1,8022,20210915,54.39
1,8022,20210916,50.53
1,8022,20210917,47.85
1,8022,20210918,93.37
1,8022,20210919,96.5
1,8022,20210920,51.07
1,8022,20210921,50.63
1,8022,20210906,74.44
1,8022,20210907,85.16
1,8022,20210908,75.57
1,8022,20210909,63.32
1,8022,20210910,82.25
1,8022,20210911,93.84
1,8022,20210912,80.58
1,8022,20210913,78.75
1,8022,20210914,88.36
1,8022,20210915,85.39
1,8022,20210916,76.54
1,8022,20210917,60.57
1,8022,20210918,91.92
1,8022,20210919,92.95
1,8022,20210920,48.28
1,8022,20210921,46.68
1,8032,20210906,65.55
1,8032,20210907,67.9
1,8032,20210908,46.72
1,8032,20210909,63.04
1,8032,20210910,61.36
1,8032,20210911,95.0
1,8032,20210912,96.61
1,8032,20210913,60.66
1,8032,20210914,53.81
1,8032,20210915,53.7
1,8032,20210916,52.94
1,8032,20210917,47.42
1,8032,20210918,94.09
1,8032,20210919,93.53
1,8032,20210920,52.67
1,8032,20210921,51.09
1,8032,20210906,68.38
1,8032,20210907,83.7
1,8032,20210908,76.3
1,8032,20210909,64.27
1,8032,20210910,83.09
1,8032,20210911,92.89
1,8032,20210912,78.69
1,8032,20210913,84.49
1,8032,20210914,85.3
1,8032,20210915,85.37
1,8032,20210916,80.09
1,8032,20210917,67.0
1,8032,20210918,93.59
1,8032,20210919,88.71
1,8032,20210920,44.89
1,8032,20210921,40.46
1,8042,20210906,64.08
1,8042,20210907,71.8
1,8042,20210908,53.88
1,8042,20210909,68.39
1,8042,20210910,61.36
1,8042,20210911,94.73
1,8042,20210912,97.56
1,8042,20210913,55.46
1,8042,20210914,51.79
1,8042,20210915,53.18
1,8042,20210916,53.2
1,8042,20210917,48.4
1,8042,20210918,93.55
1,8042,20210919,97.05
1,8042,20210920,47.84
1,8042,20210921,50.79
1,8042,20210906,68.63
1,8042,20210907,88.51
1,8042,20210908,75.18
1,8042,20210909,66.84
1,8042,20210910,82.99
1,8042,20210911,93.05
1,8042,20210912,82.85
1,8042,20210913,85.07
1,8042,20210914,83.76
1,8042,20210915,84.59
1,8042,20210916,80.32
1,8042,20210917,67.57
1,8042,20210918,93.53
1,8042,20210919,91.38
1,8042,20210920,41.06
1,8042,20210921,40.96
1,8052,20210906,68.28
1,8052,20210907,66.39
1,8052,20210908,47.99
1,8052,20210909,69.26
1,8052,20210910,57.26
1,8052,20210911,94.9
1,8052,20210912,94.24
