Line,Date,Direction,Score
48,20210909,1,0.86
48,20210906,0,1.92
48,20210906,1,4.39
48,20210912,1,5.22
48,20210910,1,5.87
48,20210915,1,6.19
48,20210913,1,6.38
48,20210911,1,7.76
48,20210914,1,8.45
48,20210908,1,8.56
48,20210907,1,8.57
48,20210916,1,9.15
48,20210917,1,9.27
48,20210912,0,12.42
34,20210914,0,13.54
27,20210908,0,14.82
27,20210908,1,15.02
29,20210909,0,17.96
29,20210909,1,19.14
48,20210910,0,23.56
61,20210912,0,27.59
61,20210912,1,28.89
43,20210913,1,33.44
27,20210912,1,35.93
48,20210913,0,36.57
29,20210907,0,37.6
48,20210917,0,39.06
29,20210916,0,39.31
48,20210909,0,39.35
29,20210907,1,39.88
29,20210916,1,41.17
47,20210912,0,41.3
29,20210913,0,42.1
33,20210915,1,43.98
29,20210913,1,44.66
27,20210916,0,45.45
27,20210912,0,46.39
47,20210914,0,47.81
27,20210916,1,47.93
43,20210911,1,49.48
87,20210912,0,51.41
47,20210911,0,52.71
47,20210911,1,52.93
43,20210911,0,53.9
34,20210912,1,54.06
29,20210908,0,54.47
48,20210914,0,54.84
33,20210913,1,54.88
34,20210912,0,55.6
43,20210912,0,55.8
47,20210917,1,56.08
47,20210914,1,56.37
29,20210908,1,56.72
48,20210911,0,58.12
48,20210915,0,58.22
56,20210906,1,58.65
34,20210915,0,59.06
48,20210908,0,59.78
48,20210907,0,60.3
47,20210907,1,60.5
43,20210914,0,61.62
47,20210915,0,61.67
56,20210906,0,61.92
27,20210917,0,62.61
43,20210909,0,62.68
27,20210906,0,62.72
56,20210907,1,63.67
33,20210910,1,63.72
61,20210906,0,63.74
29,20210911,1,63.8
43,20210915,0,63.93
56,20210914,1,64.62
33,20210906,1,64.83
48,20210916,0,64.87
43,20210908,0,64.94
43,20210912,1,64.98
34,20210910,0,65.5
43,20210906,1,65.52
29,20210911,0,65.6
43,20210910,0,65.63
47,20210915,1,65.64
47,20210908,0,65.78
43,20210913,0,65.9
33,20210911,1,65.96
47,20210909,1,66.72
47,20210908,1,66.74
27,20210910,0,66.76
47,20210909,0,66.99
37,20210911,1,67.12
61,20210906,1,67.12
33,20210912,1,67.12
47,20210912,1,67.6
43,20210916,0,67.78
27,20210907,0,67.84
63,20210906,1,67.97
43,20210917,0,68.01
47,20210913,1,68.07
59,20210906,0,68.12
27,20210917,1,68.38
29,20210906,0,68.42
37,20210911,0,68.78
34,20210913,0,69.06
27,20210911,0,69.29
43,20210906,0,69.34
34,20210908,0,69.44
33,20210908,1,69.55
34,20210909,0,69.87
27,20210914,0,69.94
8,20210906,1,69.99
43,20210907,0,70.03
34,20210916,0,70.37
27,20210909,0,70.37
27,20210911,1,70.58
27,20210915,0,70.81
89,20210906,1,70.87
8,20210906,0,70.91
56,20210911,0,71.19
27,20210910,1,71.57
33,20210917,1,71.8
37,20210906,0,72.21
27,20210913,0,72.23
37,20210912,1,72.31
37,20210912,0,72.59
89,20210906,0,72.72
27,20210906,1,73.25
34,20210917,1,73.33
56,20210917,1,73.57
34,20210906,1,73.76
56,20210917,0,73.95
56,20210912,0,74.68
56,20210913,1,74.69
27,20210909,1,74.7
27,20210913,1,74.71
47,20210916,1,75.02
34,20210906,0,75.04
33,20210914,1,75.09
47,20210910,1,75.62
27,20210907,1,75.63
47,20210906,1,75.68
89,20210911,0,75.81
37,20210915,1,75.85
33,20210909,1,75.87
27,20210914,1,75.94
61,20210911,1,75.96
87,20210906,1,75.96
89,20210911,1,76.09
47,20210906,0,76.14
43,20210914,1,76.14
63,20210906,0,76.26
43,20210915,1,76.62
61,20210914,0,76.7
37,20210914,1,76.77
37,20210913,0,77.04
33,20210916,1,77.05
56,20210910,1,77.37
56,20210911,1,77.42
56,20210916,0,77.44
