Line,Date,Direction,Score
48,20210909,1,0.8574956011544329
48,20210906,0,1.9194299287410923
48,20210906,1,4.39
48,20210910,1,5.870742922941095
48,20210915,1,6.191413678685264
48,20210913,1,6.378542086909119
48,20210914,1,8.448649711432957
48,20210908,1,8.562678740949071
48,20210907,1,8.566060381935772
48,20210916,1,9.152788344158289
48,20210917,1,9.268315339240248
34,20210914,0,13.537194137180686
27,20210908,0,14.816692852848798
27,20210908,1,15.016511857720351
29,20210909,0,17.959291681108294
29,20210909,1,19.136465818678012
48,20210910,0,23.555917071537568
43,20210913,1,33.44078823053043
48,20210913,0,36.566893233155085
29,20210907,0,37.59828150452178
48,20210917,0,39.05831007304668
29,20210916,0,39.3056998647269
48,20210909,0,39.34957051304847
29,20210907,1,39.88082682058407
29,20210916,1,41.167335852614464
29,20210913,0,42.09606207030249
33,20210915,1,43.98186618769645
29,20210913,1,44.66159208930307
27,20210916,0,45.453477881178266
47,20210914,0,47.811701236803614
27,20210916,1,47.92966512753856
29,20210908,0,54.47117987907093
48,20210914,0,54.83976168113799
33,20210913,1,54.88418206399279
47,20210917,1,56.08116561270243
47,20210914,1,56.37339985448721
29,20210908,1,56.71526743994984
48,20210915,0,58.21741257867853
56,20210906,1,58.65498934447191
34,20210915,0,59.05961310763295
48,20210908,0,59.77622050983638
48,20210907,0,60.30185407319557
47,20210907,1,60.504515909080446
43,20210914,0,61.62380814533997
47,20210915,0,61.66642891848129
56,20210906,0,61.91980458656331
27,20210917,0,62.61148095594182
43,20210909,0,62.68234920788253
27,20210906,0,62.72321270167407
56,20210907,1,63.66951975683891
33,20210910,1,63.71711118002791
61,20210906,0,63.73780003105108
43,20210915,0,63.93241594570327
56,20210914,1,64.62291088357982
33,20210906,1,64.82584843111556
48,20210916,0,64.8705728533095
43,20210908,0,64.94059053155517
34,20210910,0,65.503899017972
43,20210906,1,65.51862637362638
43,20210910,0,65.62529200920177
47,20210915,1,65.63619992615165
47,20210908,0,65.78249726149105
43,20210913,0,65.90440054910032
47,20210909,1,66.72218113497773
47,20210908,1,66.73736735824926
27,20210910,0,66.75876103215431
47,20210909,0,66.99484074895669
61,20210906,1,67.11921185935638
43,20210916,0,67.77869158373257
27,20210907,0,67.84066550408681
63,20210906,1,67.97388745862449
43,20210917,0,68.01152895352821
