Line,Stop,Date,Real_date,Score
7,5350G,20210901 - 20210917,20210906,71.27
7,5350G,20210901 - 20210917,20210907,88.24
7,5350G,20210901 - 20210917,20210908,87.79
7,5350G,20210901 - 20210917,20210909,89.93
7,5350G,20210901 - 20210917,20210910,91.55
7,5350G,20210901 - 20210917,20210911,90.58
7,5350G,20210901 - 20210917,20210912,90.5
7,5350G,20210901 - 20210917,20210913,90.0
7,5350G,20210901 - 20210917,20210914,86.43
7,5350G,20210901 - 20210917,20210915,90.49
7,5350G,20210901 - 20210917,20210916,92.76
7,5350G,20210901 - 20210917,20210917,94.5
7,5355,20210901 - 20210917,20210906,64.66
7,5355,20210901 - 20210917,20210907,83.36
7,5355,20210901 - 20210917,20210908,83.51
7,5355,20210901 - 20210917,20210909,89.21
7,5355,20210901 - 20210917,20210910,90.65
7,5355,20210901 - 20210917,20210911,93.04
7,5355,20210901 - 20210917,20210912,94.42
7,5355,20210901 - 20210917,20210913,85.51
7,5355,20210901 - 20210917,20210914,83.07
7,5355,20210901 - 20210917,20210915,89.88
7,5355,20210901 - 20210917,20210916,91.51
7,5355,20210901 - 20210917,20210917,90.05
7,5356,20210901 - 20210917,20210906,69.5
7,5356,20210901 - 20210917,20210907,86.8
7,5356,20210901 - 20210917,20210908,92.89
7,5356,20210901 - 20210917,20210909,90.51
7,5356,20210901 - 20210917,20210910,91.42
7,5356,20210901 - 20210917,20210911,83.81
7,5356,20210901 - 20210917,20210912,90.75
7,5356,20210901 - 20210917,20210913,92.25
7,5356,20210901 - 20210917,20210914,88.09
7,5356,20210901 - 20210917,20210915,92.31
7,5356,20210901 - 20210917,20210916,93.54
7,5356,20210901 - 20210917,20210917,91.88
7,5357,20210901 - 20210917,20210906,64.4
7,5357,20210901 - 20210917,20210907,85.81
7,5357,20210901 - 20210917,20210908,89.88
7,5357,20210901 - 20210917,20210909,93.9
7,5357,20210901 - 20210917,20210910,88.68
7,5357,20210901 - 20210917,20210911,91.47
7,5357,20210901 - 20210917,20210912,91.28
7,5357,20210901 - 20210917,20210913,88.19
7,5357,20210901 - 20210917,20210914,87.08
7,5357,20210901 - 20210917,20210915,89.55
7,5357,20210901 - 20210917,20210916,89.84
7,5357,20210901 - 20210917,20210917,89.38
7,5359,20210901 - 20210917,20210906,65.61
7,5359,20210901 - 20210917,20210907,87.06
7,5359,20210901 - 20210917,20210908,87.14
7,5359,20210901 - 20210917,20210909,87.69
7,5359,20210901 - 20210917,20210910,90.25
7,5359,20210901 - 20210917,20210911,92.9
7,5359,20210901 - 20210917,20210912,90.68
7,5359,20210901 - 20210917,20210913,89.56
7,5359,20210901 - 20210917,20210914,81.81
7,5359,20210901 - 20210917,20210915,89.5
7,5359,20210901 - 20210917,20210916,88.04
7,5359,20210901 - 20210917,20210917,89.8
7,5759F,20210901 - 20210917,20210906,64.99
7,5759F,20210901 - 20210917,20210907,85.87
7,5759F,20210901 - 20210917,20210908,85.52
7,5759F,20210901 - 20210917,20210909,84.82
7,5759F,20210901 - 20210917,20210910,88.58
7,5759F,20210901 - 20210917,20210911,91.2
7,5759F,20210901 - 20210917,20210912,92.69
7,5759F,20210901 - 20210917,20210913,85.59
7,5759F,20210901 - 20210917,20210914,83.89
7,5759F,20210901 - 20210917,20210915,90.81
7,5759F,20210901 - 20210917,20210916,86.17
7,5759F,20210901 - 20210917,20210917,86.66
7,5770F,20210901 - 20210917,20210906,69.26
7,5770F,20210901 - 20210917,20210907,90.17
7,5770F,20210901 - 20210917,20210908,83.39
7,5770F,20210901 - 20210917,20210909,84.33
7,5770F,20210901 - 20210917,20210910,86.35
7,5770F,20210901 - 20210917,20210911,90.45
7,5770F,20210901 - 20210917,20210912,94.25
7,5770F,20210901 - 20210917,20210913,90.6
7,5770F,20210901 - 20210917,20210914,89.95
7,5770F,20210901 - 20210917,20210915,89.95
7,5770F,20210901 - 20210917,20210916,89.16
7,5770F,20210901 - 20210917,20210917,90.04
7,6456F,20210901 - 20210917,20210906,65.02
7,6456F,20210901 - 20210917,20210907,80.04
7,6456F,20210901 - 20210917,20210908,81.09
7,6456F,20210901 - 20210917,20210909,85.77
7,6456F,20210901 - 20210917,20210910,90.43
7,6456F,20210901 - 20210917,20210911,92.94
7,6456F,20210901 - 20210917,20210912,91.38
7,6456F,20210901 - 20210917,20210913,83.28
7,6456F,20210901 - 20210917,20210914,85.22
7,6456F,20210901 - 20210917,20210915,84.65
7,6456F,20210901 - 20210917,20210916,85.59
7,6456F,20210901 - 20210917,20210917,92.3
7,5303,20210901 - 20210917,20210906,73.24
7,5303,20210901 - 20210917,20210907,86.14
7,5303,20210901 - 20210917,20210908,90.51
7,5303,20210901 - 20210917,20210909,86.93
7,5303,20210901 - 20210917,20210910,84.77
7,5303,20210901 - 20210917,20210911,91.5
7,5303,20210901 - 20210917,20210912,89.76
7,5303,20210901 - 20210917,20210913,90.36
7,5303,20210901 - 20210917,20210914,87.8
7,5303,20210901 - 20210917,20210915,82.62
7,5303,20210901 - 20210917,20210916,85.79
7,5303,20210901 - 20210917,20210917,87.98
7,5305G,20210901 - 20210917,20210906,66.16
7,5305G,20210901 - 20210917,20210907,89.5
7,5305G,20210901 - 20210917,20210908,87.16
7,5305G,20210901 - 20210917,20210909,85.92
7,5305G,20210901 - 20210917,20210910,82.73
7,5305G,20210901 - 20210917,20210911,96.13
7,5305G,20210901 - 20210917,20210912,86.66
